#{"t_start": 1755810326.851637, "env_id": "None"}
r,l,t
884.114778,823,321.047148
871.000712,624,322.874043
713.673918,511,323.244867
788.126464,727,323.810641
655.855802,406,325.495531
765.002276,727,326.008643
549.519059,527,326.383
666.91759,709,326.902529
703.813121,472,328.494147
949.563235,569,328.89838
763.766342,573,329.303211
602.879964,548,331.030454
791.561165,513,331.387281
946.22887,875,332.015849
690.643451,515,332.421901
628.13026,656,334.24192
967.911137,599,348.414889
610.130948,548,335.106276
593.889069,655,336.861509
863.286187,816,337.442983
803.088687,516,337.811165
882.379025,778,353.378767
915.651874,859,340.280846
686.089972,533,340.660709
608.230448,563,342.559799
917.022046,758,343.133026
493.806948,517,343.503119
654.413522,496,343.861398
877.521732,548,345.579692
759.482402,550,345.969509
664.567316,731,346.48342
746.502966,547,348.273643
855.529184,496,348.621798
617.417141,612,349.100817
603.578189,685,350.990547
714.607517,566,351.385036
616.679452,644,351.837726
801.089998,524,352.208384
703.992467,525,354.052267
722.335125,619,354.490814
689.346892,536,354.88991
745.204772,498,355.25332
783.362285,774,357.12541
845.458908,492,357.478753
927.720451,526,357.86885
879.157338,861,359.909985
683.321417,533,360.300526
608.839427,354,360.557263
503.578984,545,360.94741
572.190272,631,362.763098
778.436134,780,363.333959
726.701754,515,363.697999
850.620434,899,365.658384
738.746415,696,366.167644
640.940008,495,366.529763
927.057912,1000,368.615979
703.159645,646,369.074731
506.825393,471,369.414455
699.926126,571,371.111108
958.462461,985,371.845275
901.615497,840,373.767447
552.153653,557,374.159336
918.951513,641,374.630657
901.607936,683,376.498404
705.841744,555,376.91471
979.674777,852,377.52565
1154.085519,1000,379.563826
698.423823,512,379.944167
988.38362,917,380.600907
624.279721,668,382.459686
741.498999,592,382.881706
1055.252712,951,383.565352
993.150662,559,385.307485
966.687424,1000,386.025881
704.644511,543,386.424356
1164.544008,1000,388.451672
657.812889,676,388.934666
1041.474561,1000,390.968757
755.467692,635,391.423719
424.500751,422,391.725033
1040.714186,580,393.514235
1169.373058,708,394.065833
561.667819,611,394.511998
774.560877,720,396.416523
1083.896047,1000,397.12545
779.756488,846,399.011803
932.686374,615,399.444371
1406.113782,1000,400.149896
858.924665,575,401.978568
774.074746,558,402.377347
963.03105,929,403.083023
650.530057,550,418.496176
634.145025,439,405.096458
721.377368,470,405.429285
913.683328,943,406.089736
684.259182,476,407.826318
1162.020769,948,408.498372
805.203384,664,409.003493
885.441679,786,411.078886
1123.995875,821,411.6642
1029.173132,1000,413.773724
604.405849,510,414.145879
1145.696908,1000,428.612035
792.54292,770,416.804754
1173.903697,909,417.51046
1342.81375,959,419.592212
587.302756,469,433.632829
617.242747,519,420.234783
715.616969,591,422.035301
749.968686,562,422.45715
1315.062655,950,423.158724
570.69109,392,423.433467
632.85038,461,425.175497
1185.206458,1000,425.945144
663.462611,784,427.886595
960.431441,1000,428.614928
601.260039,424,428.918008
1012.224504,767,430.84319
643.944789,689,431.349673
466.893555,435,431.661422
1197.655525,1000,433.793598
993.229099,984,434.502661
1196.55526,1000,436.657979
565.281212,445,436.97339
591.903395,592,437.385063
1073.059481,1000,439.523026
1039.093149,839,440.142669
322.474403,310,440.350548
1166.612763,1000,442.461206
1091.018927,702,443.002105
627.306346,523,443.376534
807.209963,728,445.311249
1261.542682,1000,446.022987
712.382915,761,447.942881
703.870072,445,448.246191
1583.17636,1000,448.950673
985.024223,1000,451.045466
285.889103,311,451.256537
1042.639035,740,451.820981
1184.428321,1000,453.957963
632.646162,490,454.306722
663.037209,593,454.748061
1031.404523,974,456.807485
869.749791,650,457.273209
866.591679,663,457.770334
1125.909603,1000,473.563272
1369.77557,1000,460.591599
791.271348,541,462.322255
582.20913,459,462.653977
863.334857,819,463.24242
535.003791,434,463.549831
939.169774,770,465.453454
987.639656,735,465.967755
1310.755567,1000,468.029205
1108.781913,814,468.617945
917.340157,934,470.746036
921.282867,707,471.276966
988.127547,1000,472.001873
678.975598,490,473.808012
960.598091,778,474.356354
917.560429,675,488.609004
883.919691,732,476.794654
819.02529,574,477.237098
1254.519216,1000,477.958836
777.917327,629,479.738866
777.782921,599,480.273795
942.378237,1000,482.487103
1032.539025,1000,483.209932
700.260364,478,483.576046
1178.582802,1000,485.624519
514.542947,366,485.889457
879.033811,654,486.354131
928.276751,843,488.262201
779.257816,586,488.69025
1456.225017,1000,489.405472
731.789356,490,491.168612
397.720358,351,491.416797
685.047123,691,491.950014
637.019251,520,492.324393
507.310078,312,494.025724
404.167189,327,494.269497
731.035506,433,494.597417
1138.075352,601,495.054117
775.80955,624,496.847656
564.669855,491,497.184893
627.922787,513,497.573108
1344.91351,1000,499.706934
1060.336507,866,500.305332
643.061536,501,500.654437
770.166192,552,501.051868
675.612857,515,502.809365
732.982161,595,503.238113
870.113183,624,503.689876
402.876875,428,503.991281
664.254124,496,505.701138
1603.455993,1000,506.420832
934.325701,797,508.434102
1464.930071,912,509.11046
871.029237,687,509.615228
1139.322086,1000,511.750221
479.534452,553,512.146537
271.685504,271,512.336725
344.516781,312,512.55433
1167.3755,1000,514.640459
1522.66018,827,515.296753
1202.722507,1000,517.40036
602.080711,396,517.678354
1196.034261,1000,519.768833
1159.413208,1000,520.490316
527.546583,374,520.753092
777.09797,577,521.156438
1408.039912,1000,523.27589
1312.506879,1000,524.036427
1212.562813,1000,526.122173
1260.749198,934,526.793586
593.094139,424,528.43359
558.747369,436,528.741456
620.192216,504,529.116964
572.640134,442,529.439442
930.040878,614,531.102131
849.599562,645,531.558518
600.5671,477,531.909369
732.973126,583,532.351854
1040.470984,885,534.299452
988.379811,702,534.865745
503.821266,361,548.828139
672.030186,553,536.898212
735.463259,451,537.258597
368.82221,305,537.490775
1054.258529,786,538.097144
1013.828447,725,539.967243
1028.372043,711,540.476219
702.023018,550,540.886144
727.523439,540,542.496934
1354.072701,1000,543.234334
742.315046,584,543.667341
700.385249,395,545.258377
382.454912,327,545.478212
1091.772795,699,545.978901
562.673611,462,546.33545
663.977153,518,548.118738
706.273825,461,548.428421
604.92572,372,548.703006
631.689118,415,548.995011
1229.057085,814,550.930784
674.221948,547,551.330586
1301.892829,847,551.949439
1262.131167,1000,553.952599
519.033539,393,554.238687
966.535542,624,554.67727
801.115447,617,556.459475
826.374763,696,556.950061
496.639675,485,557.298208
1512.257965,942,559.380758
823.075095,635,559.843567
465.071908,389,573.869578
1299.7558,1000,562.347974
531.884634,388,562.627489
530.641559,366,562.885793
990.274723,667,563.363616
951.194204,674,578.790107
1182.529679,1000,565.823057
1242.042575,887,566.504773
1462.731783,1000,568.607351
1282.666432,1000,569.316545
1771.752521,1000,571.365274
975.467764,841,571.97914
1199.521617,1000,573.999804
767.448432,517,574.375189
1073.605472,628,574.845796
723.53337,496,576.511497
584.239928,486,576.856614
933.379411,747,577.442067
1016.872493,632,579.259682
587.991851,448,579.571264
1393.26905,1000,580.308166
1495.680473,1000,582.292811
683.80743,585,582.707022
1277.526122,1000,584.789322
1232.340136,1000,585.498347
1033.097534,949,586.216295
1197.292346,733,588.208594
784.304387,608,588.647472
810.736381,645,589.108909
614.824382,490,590.883693
1257.473631,1000,591.682534
1182.377212,738,593.615123
1413.788744,1000,594.353334
961.121084,746,594.916189
1217.61419,1000,596.856042
1058.998714,791,597.426934
1156.246662,760,599.314257
1534.436294,1000,600.031476
596.234399,485,600.430412
725.42684,604,602.192744
1002.401478,698,602.749166
893.743761,631,603.196451
1573.289841,960,618.835267
1035.489604,634,605.599623
1284.81795,1000,607.77792
688.608076,524,608.145849
1444.676804,986,608.859995
741.704071,467,610.550229
1302.721981,822,611.167501
1327.648589,1000,611.885104
982.080523,907,613.884759
741.334088,526,614.268645
920.689954,757,614.80749
